D,I,lambda
1.1644062177764365,1.1644062177764358,0.0
1.0463286770883609,1.0463286770883617,0.03333333333333333
0.9562685701753402,0.9562685701753404,0.06666666666666667
0.877211911853883,0.877211911853883,0.1
0.8055383929085935,0.8055383929085933,0.13333333333333333
0.7395324769245394,0.7395324769245394,0.16666666666666666
0.678188724563367,0.6781887245633667,0.2
0.6208480293254732,0.620848029325473,0.23333333333333334
0.5670472501051906,0.5670472501051906,0.26666666666666666
0.5164454296144654,0.5164454296144657,0.3
0.4687832862153343,0.4687832862153337,0.3333333333333333
0.42385912847048257,0.42385912847048246,0.36666666666666664
0.3815136620151042,0.3815136620151036,0.4
0.3416199666640683,0.341619966664068,0.43333333333333335
0.3040766572350041,0.304076657235004,0.4666666666666667
0.26880310230451043,0.26880310230451054,0.5
0.23573603216830794,0.23573603216830796,0.5333333333333333
0.20482712438852216,0.2048271243885218,0.5666666666666667
0.17604130764690956,0.17604130764690973,0.6
0.1493556196424795,0.14935561964247923,0.6333333333333333
0.12475851761631798,0.12475851761631773,0.6666666666666666
0.10224958496217917,0.1022495849621794,0.7
0.08183961304793586,0.08183961304793552,0.7333333333333333
0.06355107004340875,0.06355107004340854,0.7666666666666666
0.04741900370079317,0.04741900370079288,0.8
0.03349246893191099,0.033492468931910935,0.8333333333333334
0.021836632625977008,0.021836632625977126,0.8666666666666667
0.012535802252755964,0.012535802252755968,0.9
0.005697778227904274,0.005697778227904404,0.9333333333333333
0.0014601949306817259,0.001460194930681391,0.9666666666666667
0.0,-2.220446049250313e-16,1.0
